title,company,location,description,skills
Computer Scientist,U.S. Department of Defense (DOD),"Arlington, Virginia","Click on ""Learn more about this agency"" button below for IMPORTANT additional information.

This is a Direct Hire Solicitation. This public notice is to gather applications that may or may not result in a referral or selection.Qualifications:BASIC REQUIREMENTS: Bachelor's degree in computer science or bachelor's degree with 30 semester hours in a combination of mathematics, statistics, and computer science. At least 15 of the 30 semester hours must have included any combination of statistics and mathematics that included differential and integral calculus. All academic degrees and course work must be from accredited or pre-accredited institutions.

In addition to the basic requirements above, all applicants must meet the qualification requirements below:

SPECIALIZED EXPERIENCE:

GS-12: One year of specialized experience equivalent to the GS-11 level in the Federal service or equivalent in other pay systems that equipped me with the particular knowledge, skills and abilities (KSAs) to perform successfully the duties of this position, and that is in or related to the position to be filled. An example of this experience includes developing software systems, high-speed computing systems, real time data acquisitions systems, simulation modeling, data analysis and complex electronic instrumentation systems for testing weapon system installation. Serve as assistants to higher grade level scientists responsible for subject-matter or program areas.

GS-13: One year of specialized experience equivalent to the GS-12 level in the Federal service or equivalent in other pay systems that equipped me with the particular knowledge, skills and abilities (KSAs) to perform successfully the duties of this position, and that is in or related to the position to be filled. An example of this experience includes developing software systems, high-speed computing systems, real time data acquisitions systems, simulation modeling, data analysis and complex electronic instrumentation systems for testing weapon system installation. Serving as staff specialist for a significant segment of a subject-matter or program area. Providing technical guidance in planning, coordinating, and evaluating proposed research projects and programs of interest to the agency.

GS-14: One year of specialized experience equivalent to the GS-13 level in the Federal service or equivalent in other pay systems that equipped me with the particular knowledge, skills and abilities (KSAs) to perform successfully the duties of this position, and that is in or related to the position to be filled. An example of this experience includes developing software systems, high-speed computing systems; real time data acquisitions systems, simulation modeling, data analysis and complex electronic instrumentation systems for testing weapon system installation and developing and applying system evaluation methods and techniques to major portions of large projects of studies. Serves as staff specialist responsible for providing technical leadership and guidance in a major subject-matter, functional, or program area.

GS-15: One year of specialized experience equivalent to the GS-14 level in the Federal service or equivalent in other pay systems that equipped me with the particular knowledge, skills and abilities (KSAs) to perform successfully the duties of this position, and that is in or related to the position to be filled. An example of this experience includes developing software systems, high-speed computing systems; real time data acquisitions systems, simulation modeling, data analysis and complex electronic instrumentation systems for testing weapon system installation and developing and applying system evaluation methods and techniques to major portions of large projects of studies. Serves as staff experts and consultants.

Click on the following link to view occupational requirements for this position: https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/1500/computer-science-series-1550/

KNOWLEDGE, SKILLS AND ABILITIES (KSAs):

1. Knowledge of computer science concepts and principles of standard computer science practices, methods, and techniques to perform, following specific instructions, routine projects or minor phases of a larger or more complex project.
2. Knowledge of computer design, simulation or programming software or other appropriate software to perform routine design and analysis assignments.
3. Knowledge of computer science and related disciplines to design, develop and adapt scientific methods and techniques to recommend solutions for computer problems.
4. Ability to analyze, interpret and apply computer science procedures in a variety of situations and recommend effective solutions.

PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week.

VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.Education:IF USING EDUCATION TO QUALIFY: If position has a positive degree requirement or education forms the basis for qualifications, you MUST submit transcriptswith the application. Official transcripts are not required at the time of application; however, if position has a positive degree requirement, qualifying based on education alone or in combination with experience; transcripts must be verified prior to appointment. An accrediting institution recognized by the U.S. Department of Education must accredit education. Click here to check accreditation.

FOREIGN EDUCATION: Education completed in foreign colleges or universities may be used to meet the requirements. You must show proof the education credentials have been deemed to be at least equivalent to that gained in conventional U.S. education program. It is your responsibility to provide such evidence when applying.Employment Type: FULL_TIME",N/A
"Software Engineering Associate - Washington, DC",Accenture Federal Services,"Arlington, Virginia","Company Description

Accenture Federal Services, a wholly-owned subsidiary of Accenture, helps U.S. federal agencies build the government of the future. With 4,000 dedicated US employees, Accenture Federal Services is uniquely positioned to support federal agencies in shattering the status quo, achieving profound efficiencies and relentlessly delivering results. Accenture Federal Services is a long-time and trusted resource for the federal community. Every cabinet level agency in the United States-and 20 of the country's largest federal government agencies-have worked with Accenture Federal Services to achieve outcomes and move toward high performance. Join us and you can help our federal clients achieve what matters most, powering the services that touch the nation every day.

Job Description

Bring your talent and passion to an organization at the forefront of business, technology and innovation. Accenture, a global management consulting, technology services and outsourcing company, is looking for graduates to join us and provide programming and technology implementation services that help our clients become high-performance businesses and governments.

Accenture Federal Services, a wholly-owned subsidiary of Accenture, helps U.S. federal agencies build the government of the future. With 4,000 dedicated US employees, Accenture Federal Services is uniquely positioned to support federal agencies in shattering the status quo, achieving profound efficiencies and relentlessly delivering results. Accenture Federal Services is a long-time and trusted resource for the federal community. Every cabinet level agency in the United States-and 20 of the country's largest federal government agencies-have worked with Accenture Federal Services to achieve outcomes and move toward high performance. Join us and you can help our federal clients achieve what matters most, powering the services that touch the nation every day.

Responsibilities:

As an Entry Level Software Engineering Associate, you will assist with the development, delivery and management of technology-based business solutions. You may work on coding, testing and implementing configuration changes; assist in the design of software applications to meet both functional and technical requirements; or provide project management support.

You will be part of our global network of technology experts that provides programming and technology implementation services for clients across the entire range of industry sectors. From application development and architecture to software maintenance and systems administration, we help turn innovation into effective technology solutions.

As part of our global team, you'll work with the latest software and leading-edge development tools-giving you the opportunity to enhance your skills and hone your expertise in a collaborative and supportive environment.

Training and Development:

From day one, we're committed to providing you with the right experiences, learning and coaching to help you become an effective professional. As an Entry Level Software Engineering Associate you will benefit from a robust training curriculum that will build your business acumen, technical and professional skills. Learning will take place both on the job and through formal training conducted online, in the classroom or in collaboration with teammates.

Training is not just something you'll do when you first join our company. In 2012, we invested approximately $850 million in training and professional development. Throughout your career, you will continue to follow a defined training curriculum, attend classroom training, have access to a global learning portal with more than 20,000 online learning resources and learn from your global colleagues through our vast online tool, the Knowledge Exchange.

Every step of the way you're learning, growing, and building yourself-getting ready to meet the next challenge that comes your way.

Qualifications

Basic Qualifications:
• Associate's degree or Bachelor's degree (with a graduation date no later than December 2014)
• A track record of strong academic performance (2.8 or higher cumulative GPA)

Preferred Majors:
• Computer Science/Computer Engineering
• Information Systems
• Engineering (all disciplines)

Other Professional Skill Requirements and Qualifications:
• Solid foundation in object oriented programming
• Strong Microsoft office skills, especially Excel and Visio
• Eagerness to contribute in a team-oriented environment
• Ability to work creatively and analytically in a problem-solving environment
• Desire to work in an information systems environment
• Strong communication (oral and written), interpersonal and relationship-building skills
• Good organizational, multi-tasking, and time-management skills
• Demonstrated leadership in professional setting; either military or civilian
• Demonstrated teamwork and collaboration in a professional setting; either military or civilian

Candidates must be located within the Arlington, VA area or commutable distance.

This position requires US citizenship due to client security clearance requirements.

Applicants for employment in the U.S. must possess work authorization which does not require, now or in the future, sponsorship by the employer for a visa.

Accenture is an Equal Opportunity Employer.

Accenture is committed to providing veteran employment opportunities to our service men and women.

Accenture is an EEO and Affirmative Action Employer of Females/Minorities/Veterans/Individuals with Disabilities.

All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.

Additional Information

www.accenture.com/federalcareers",N/A
Computer Science Academic Specialist,Anne Arundel County Public Schools,"Arnold, Maryland","Company Description

Anne Arundel County Public Schools (AACPS) offers a comprehensive multicultural curriculum from kindergarten through 12th grade, focusing on success for every student. Located in Arnold, MD, AACPS is near Baltimore and Washington, D.C., with access to historic landmarks and recreational activities. The school system provides competitive salaries, benefits, mentor programs, and opportunities for career advancement in education.

Role Description

This is a full-time on-site role as a Computer Science Academic Specialist at Anne Arundel County Public Schools. The specialist will be responsible for day-to-day tasks related to computer science education, software development, communication, programming, and informatics.

Qualifications
• Computer Science and Software Development skills
• Programming and Informatics abilities
• Strong communication skills
• Experience in curriculum development and instruction
• Knowledge of educational technology and software applications
• Master's degree in Computer Science or related field",N/A
Senior Electrical Engineering & Computer Science Associate,BCG Attorney Search,"Washington, District of Columbia","Job Overview:
A prestigious law firm is looking to hire a Senior Associate to join its Electrical Engineering and Computer Science Patent Prosecution Practice Group. The ideal candidate should possess a high level of academic achievement, solid law firm experience, and strong writing and communication skills. This role will focus on overseeing and managing patent preparation and prosecution for a diverse client base specializing in electrical engineering and software-related technologies.

Location:
• Washington, DC

Duties:
• Draft and file high-quality patent applications.
• Manage patent prosecution processes, ensuring the accuracy and timeliness of submissions.
• Supervise and mentor junior associates to support their professional growth.
• Draft and prosecute patents related to advanced technologies such as GPUs, TPUs, accelerators, neural engines, and robotics.
• Oversee patent preparation and prosecution for a variety of electrical engineering and software-related technologies.

Requirements:
• At least six years of experience in patent preparation and prosecution.
• An undergraduate or advanced degree in electrical engineering, computer engineering, software engineering, computer science, or physics.
• Expertise in drafting and prosecuting patent applications for complex technologies.
• Strong understanding of patent laws and USPTO procedures.
• Ability to work independently and collaboratively with a team.

Education:
• JD from an accredited law school.
• Undergraduate (and graduate, if applicable) degree in electrical engineering, computer science, or a related field.

Certifications:
• Active bar admission in the jurisdiction where the candidate intends to practice.
• Admission to the USPTO is required.

Skills:
• Strong written and verbal communication skills.
• Excellent analytical and problem-solving abilities.
• Proven ability to manage and prosecute patent applications.
• Ability to supervise and mentor junior associates.
• Knowledge of intellectual property and patent law.

Benefits:
• Discretionary bonus based on performance.
• Comprehensive medical, dental, life, and disability insurance.
• Voluntary vision insurance options.
• 401(k) retirement plan.
• Paid time off.

Ranked as one of the Best Client Relationships firm and as one of the top Best Known Firms in the nation, the attorneys in this firm are invested in understanding their clients? businesses from all angels, including the risks, challenges, and issues affecting their industries. This AmLaw 100 firm values diversity and inclusion. Attorneys strive to build true partnerships with the firm?s clients. The firm invests in its associates by providing opportunities for professional development based on each person?s desired career path. The goal is to give each individual the opportunity to achieve their best and take pride in their performance and quality of work. Compensation at this firm is competitive with peer firms in the region. SKILLS - IP - Patent - Hard Sciences,Intellectual Property - General,Patent Agents - Hard Science General",N/A
Computer Scientist Jobs,BAE Systems,"Reston, Virginia","Job Description
Every action at BAE Systems serves a higher purpose: protecting those who protect us. Our unwavering commitment to safeguarding lives and defending freedom fuels a collective passion. Join a purpose-driven community where every effort counts, and every contribution resonates globally.

BAE Systems is seeking Computer Scientists to support our government customer in Reston, VA and Patrick Space Force Base, FL.

These Computer Scientists will be working in a classified environment and will employ mathematics, statistics, information science, artificial intelligence, machine learning, network science, probability modeling, data mining, data engineering, data warehousing, data compression, data protection, and/or other scientific techniques to correlate complex, technical findings into graphical, written, visual, and verbal narrative products on trends of existing intelligence data to leverage other IC data sources. Responsibilities include:
• Identify, capture, track, assist, and execute the establishment of new OSINT/PAI capabilities, training, data, and subscription requirements while working with officers from DIA Mission Directorates, Combatant Commands, Services and DoD OSINT Stakeholders.
• Assist in the vetting, validation, design, and testing process of all OSIC capabilities and requirements.
• Provie technical expertise as required on OSINT/PAI data requirements and acquisition.
• Assist in the development, deployment, and security approval of all OSIC MA capabilities and services.
• Provide technical expertise as required on OSINT User Interface/User Experience data requirements and acquisition.
• Provide technical expertise as required on Scrum/Sprint capabilities, data requirements, and software acquisition.
• Develop and utilize machine learning and data mining algorithms, including, but not limited to, Multiple Information Model Synthesis Architecture (MIMOSA) prediction algorithms based on open source capabilities.
• Integrate or code algorithms to support Government intelligence search and discovery missions.
• Assist in the development of automated capabilities to aggregate all license information and dissemination of licenses, reports, and briefings.
• Create briefs for Senior Leadership detailing the nuances of account and license management.
• Metrics - Assist in the design and maintenance of logical and physical data models (relational & dimensional), data dictionary and database volumetrics.
• Work to define basic file organization, indexing methods, and security procedures for specific user applications.
• Maintains database dictionaries, monitors standards and procedures and integration of systems through database design under close supervision. Maintains accurate and up-to-date knowledge of database information and requirements for maximizing database potential.
• Help provide assistance to various clients as required for database design, implementation, and troubleshooting.
• Maintain standards and documentation.
#EKS01

Required Education, Experience, & Skills
• Junior: Bachelor's degree in computer science with 3+ years of computer science experience with experience within the last 2 years, or 7+ years of experience
• Mid-level: Bachelor's degree in computer science with 8+ years of computer science experience with experience within the last 2 years, or 10+ years of experience
• Senior: Master's degree in computer science with 12+ years of computer science experience with experience within the last 2 years, or a Bachelor's degree with 17+ years of experience
• Experience utilizing Commercial-Off-The-Shelf (COTS) OSINT tools which include but are not limited to the Berber Hunter Tool Kit applications (e.g., SILO, SCRAAWL, Data Miner, and Babel).
• Knowledgeable of and demonstrates ability to apply IC and DoD classification guidelines and procedures.

Preferred Education, Experience, & Skills
• Graduate of Government OSINT Training courses (e.g., U.S. Army OBC, OS301/OS302, CASO, defense or IC equivalent (DIA BOTC, FBI OS101).
• Experience conducting computer science support for the IC/DoD
#LI-TO1

Pay Information
Full-Time Salary Range: $75570 - $128480

Please note: This range is based on our market pay structures. However, individual salaries are determined by a variety of factors including, but not limited to: business considerations, local market conditions, and internal equity, as well as candidate qualifications, such as skills, education, and experience.

Employee Benefits: At BAE Systems, we support our employees in all aspects of their life, including their health and financial well-being. Regular employees scheduled to work 20+ hours per week are offered: health, dental, and vision insurance; health savings accounts; a 401(k) savings plan; disability coverage; and life and accident insurance. We also have an employee assistance program, a legal plan, and other perks including discounts on things like home, auto, and pet insurance. Our leave programs include paid time off, paid holidays, as well as other types of leave, including paid parental, military, bereavement, and any applicable federal and state sick leave. Employees may participate in the company recognition program to receive monetary or non-monetary recognition awards. Other incentives may be available based on position level and/or job specifics.

About BAE Systems Intelligence & Security
BAE Systems, Inc. is the U.S. subsidiary of BAE Systems plc, an international defense, aerospace and security company which delivers a full range of products and services for air, land and naval forces, as well as advanced electronics, security, information technology solutions and customer support services. Improving the future and protecting lives is an ambitious mission, but it's what we do at BAE Systems. Working here means using your passion and ingenuity where it counts - defending national security with breakthrough technology, superior products, and intelligence solutions. As you develop the latest technology and defend national security, you will continually hone your skills on a team-making a big impact on a global scale. At BAE Systems, you'll find a rewarding career that truly makes a difference.

Intelligence & Security (I&S), based in McLean, Virginia, designs and delivers advanced defense, intelligence, and security solutions that support the important missions of our customers. Our pride and dedication shows in everything we do-from intelligence analysis, cyber operations and IT expertise to systems development, systems integration, and operations and maintenance services. Knowing that our work enables the U.S. military and government to recognize, manage and defeat threats inspires us to push ourselves and our technologies to new levels.

This position will be posted for at least 5 calendar days. The posting will remain active until the position is filled, or a qualified pool of candidates is identified.",N/A
Computer Science Summer Internship,LabN Consulting LLC,"Washington, District of Columbia","Shape the Future of Network Technology - 2025 Computer Summer Internship Program Join LabN's team of industry experts to gain hands-on experience with cutting-edge network control innovations in cloud environments.
Program Highlights
Work on real R&D projects alongside recognized industry leaders in network technology
Hybrid flexibility with access to Washington, DC's tech ecosystem
Security-focused environment requiring active Secret clearance - rare early-career opportunity
Career development package including resume reviews and presentation coaching
Competitive compensation for 10-12 weeks (mid-May to early June start dates available)
Technical Focus Areas » Cloud-native network control architectures » Linux-based network administration & scripting (C/C++/Python) » Software-defined networking in specialized operating environments » Cross-functional collaboration using modern development practices
Who We Want
Sophomore+ standing in CS/Engineering with coursework in: → Computer Networks & Systems Architecture → Operating Systems & Software Engineering
Linux power users comfortable with system administration
Cleared candidates (U.S. citizenship & minimum active Secret clearance required)
Self-starters who thrive in collaborative research environments
Intern Impact
Own deliverables from Day 1: software prototypes, technical analyses, and design documents
Present findings to senior engineers in capstone presentation
Participate in code reviews, design sprints, and architecture discussions
Build portfolio with unclassified project work for future employers
Application ProcessDeadline: Rolling admissions - limited positions availableSubmit to: internships@labn.netRequired Materials:
Resume highlighting relevant coursework/projects
Cover letter explaining your interest in network control
Unofficial transcript
Clearance verification (if already held)
Pro Tip: Candidates with home lab experience, CTF participation, or open-source contributions should highlight these in their application materials.",N/A
"DARPA Computer Engineer, TS/SCI",Blue Sky Innovators,"Arlington, Virginia","Education:
• Bachelor's degree in Computer, Electrical or Electronics Engineering or Mathematics with field of concentration in computer science.

Experience:
• Seven (7) years with Masters or 11 years with Bachelor's degree of experience in computer design, software development or computer networks.
• TS/SCI Clearance
• At least seven (7) years, the individual supported research and development (R&D) Department of Defense (DoD) programs.
• Demonstrated skill in conceiving, planning and conducting research in problem areas of considerable scope and complexity requiring unconventional or novel approaches and sophisticated research techniques.
• Demonstrated ability of make decisions independently on research and development (R&D) engineering problems and methods, and of resolve important questions and of plan and coordinate work.
• Demonstrated experience in the use of advanced techniques, theories, precepts, and practices for each lead of the four functional areas (Intelligence and Mission Capabilities, Architecture, Applications, and Mission Integration). Each functional area lead shall have at least five (5) years extensive experience, background and knowledge of the corresponding functional area.
• At least three (3) years of experience working in DARPA or similar organization is highly desirable.

Blue Sky Innovators, Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to sex, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law. If you are a qualified job seeker with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.blueskyinnovators.com as a result of your disability. To request an accommodation, please email us at careers@blueskyinnovators.com and provide your name and contact information. Please note: this is only for job seekers with disabilities requesting an accommodation.",N/A
College Park Remote Or In Person Computer Science Tutor,BuffTutor Network,"College Park, Maryland","College Park Remote Or In Person Computer Science Tutor

BuffTutor is a network of experienced and passionate tutors who provide academic assistance to college & high school students. We are always hiring dedicated tutors; if you love teaching, join us!

Responsibilities:
• Provide 1-on-1 in-person or online tutoring to university and/or high school students. We are primarily hiring STEM tutors to assist with courses such as Math, Calculus, Physics, Chemistry, Biology, Economics etc.

BENEFITS:
• Set your own rate.
• In-person & online tutoring available; meet wherever works for you.
• Set your own schedule; meet whenever works for you.
• Work with as many (or as few) students as you would like to.

QUALIFICATIONS:
• Have at least a 3.0 or better major GPA (out of 4.0).
• Have earned a B or better in the courses you wish to tutor.
• Have at least one year (or two semesters) of experience as a tutor, teacher, teaching/learning assistant or instructor.
• Have excellent communication skills and you must be fluent in the language that you teach in. Foreign Language tutors must be fluent in the Foreign Language they wish to tutor.

ABOUT BUFFTUTOR:

BuffTutor is dedicated to connecting students with intelligent and experienced tutors. We primarily focus on university level tutoring, but also work with high school and middle school students. More than just another tutor list, we prioritize the academic needs of our students while also treating our tutors with dignity and respect:
• We have some of the strictest eligibility criteria and challenging proficiency exams. Only the best can join our network!
• Tutors can set their own schedule. Our motto is quality is more important than quantity. Take on one student but be the best tutor for that student!
• Tutors can set their own rate. Earn what you are worth!
• We review student evaluations to help us keep the best tutor in our network.

BuffTutor was founded in 2009 and since then we have helped thousands of students and parents connect with affordable and passionate educators!

Please note that tutors are independent contractors, not employees. All applicants must already have work permissions; applicants who are students must be able to work an off-campus position. We do not sponsor individuals and we cannot work with F-1 or J-1 international students",N/A
Cryptanalytic Computer Scientist Level 2,Nyla Technology Solutions,"Annapolis Junction, Maryland","Job Description

ACTIVE SECURITY CLEARANCE AT THE TS/SCI POLYGRAPH LEVEL IS REQUIRED

We are pursuing individual(s) for the position of Cryptanalytic Computer Scientist 2. If this position sounds like a good fit and you have a track record of delivering solid results, please apply.

The annual base salary range for this role is $119,000-$144,000 (USD) , which does not include discretionary bonus compensation or our comprehensive benefits package. Actual compensation offered to the successful candidate may vary from posted hiring range based upon geographic location, work experience, education, and/or skill level, among other things.

,

Required Skills
• TSR. Need a developer type to come in and work with TechELINT data to help build out a new capability.
• Understanding of Python

At a minimum, a qualified candidate will possess the following capabilities:
• A Bachelor's degree and 5 years of relevant experience or a Master's degree plus 3 years of relevant experience or a Doctoral degree and 2 years experience. An Associate's degree plus 7 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position.
• Degree must be in Computer Science, Computer Engineering, Electrical Engineering, Mathematics (including Applied Math); or a related field (i.e., other Engineering or Math) with at least one programming and at least four upper-level math classes (Calculus and above).
• Relevant experience must be in computer science area (i.e. theoretical or applied), designing/developing/using/evaluating mathematic models, methods, and/or techniques (e.g., algorithm development) to study issues and solve problems, engineering (electrical or computer), and/or high performance computing.

,

About Nyla Technology Solutions

Nyla Technology Solutions delivers exceptional Artificial Intelligence (AI), Data Science, and Software Engineering services for the U.S. Government. Nyla embraces a forward-thinking and bold approach at every turn, earning us a solid reputation of technical trendsetters within the industry. We have a passion for developing solutions that have a quick and immediate impact on mission. Headquartered in Columbia, Maryland, our customers love how we tackle their most challenging problems and get things done.

If you have the unique experience and expertise we are seeking, along with the desire and determination to invest your time and energy as a part of Nyla’s team,

Taking Care of All of You

Nyla provides a top-of-market compensation and benefits package. And through our unique Nyla FLEX program, we custom tailor these benefits to best fit your lifestyle.

The Nyla FLEX benefit program is designed to offer you flexibility in the 3 biggest areas of your life: your pay, your leave, and your schedule.

PAY - Nyla starts with 4 weeks of Annual Leave plus 11 holidays and an additional day of Annual Leave for each year you’re at the company. You have the flexibility to cash out your annual leave hours, opt out of other Nyla benefits, and/or arrange for additional hours on contract* (over 40 hrs/week). There’s even an option to earn 1.3 times your hourly rate once you work over 1880 hours on contract!

LEAVE - Want to spend more time with the family? Want more time to travel the world? You can BUY additional annual leave for a total of 6 weeks of annual leave. That’s up to 240 hours of leave plus 11 holidays! That’s not even including paid anniversary leave!

SCHEDULE - Does the traditional 40-hour workweek no longer fit your lifestyle? With Nyla FLEX, you have the freedom to scale down to 30-32 hours while still enjoying the top-notch Nyla benefits you know and love. It's flexibility that works for you without compromising the perks!

WHAT ABOUT OTHER BENEFITS? Nyla’s health care (medical, dental, and vision) is 100% covered by the company. We provide 10% 401k matching - with full vesting day 1! Our Professional Development offers $5,000 per year to be used towards fees, tuition, or time off for your continued growth. We even have a student loan repayment program and we provide 8 hours of volunteering annually so you can support your community, making your world a better place.

To learn more about Nyla's culture and our exceptional benefit packages click here.

Nyla is an equal opportunity employer.",N/A
"Software Engineer Intern, application via RippleMatch",RippleMatch Opportunities,"Washington, District of Columbia","This role is with RippleMatch's partner companies. RippleMatch partners with hundreds of companies looking to hire top talent.

About RippleMatch

RippleMatch is your AI-powered job matchmaker. Our platform brings opportunities directly to you by matching you with top employers and jobs you are qualified for. Tell us about your strengths and goals - we'll get you interviews! Leading employers leverage RippleMatch to build high-performing teams and Gen Z job seekers across the country trust RippleMatch to launch and grow their careers.

Requirements for the role
• Currently pursuing a Bachelor's or Master's degree in Computer Science, Software Engineering, Information Technology, or a related field.
• Strong foundation in programming languages such as Java, C#, Python, or JavaScript.
• Understanding of basic software development methodologies (e.g., Agile, Scrum) and the software development lifecycle.
• Familiarity with database concepts and basic SQL.
• Interest in designing, coding, testing, and maintaining software applications.
• Strong problem-solving skills and the ability to participate in debugging and technical challenges.
• Good organizational and project management skills, with the ability to handle multiple tasks and deadlines.
• Effective communication and interpersonal skills, essential for working collaboratively in a team environment.
• Eagerness to learn new technologies and software development practices.
• Analytical skills, with an aptitude for learning quickly and adapting to new programming environments.",N/A
